title,publish_date
"Java 學習手冊, 5/e (Learning Java An Introduction to Real-World Programming with Java, 5/e)-cover",2021-12-15
Java SE 14 技術手冊-cover,2020-06-12
"Java 編程思想, 4/e (Thinking in Java, 4/e)-cover",2007-06-01
"深入淺出 Java 程式設計, 2/e (Head First Java, 2/e)-cover",2005-10-01
Spring Boot：建置與執行 (Spring Boot Up and Running Building Cloud Native Java and Kotlin Applications)-cover,2021-07-02
最新 Java 程式語言 (修訂第七版)-cover,2022-03-17
Java 程式設計師應該知道的 97件事｜來自專家的集體智慧 (97 Things Every Java Programmer Should Know)-cover,2021-01-22
極速開發 Java 大型系統：Spring Boot 又輕又快又好學-cover,2020-12-21
Java SE 12 基礎必修課 (適用Java 12~10，涵蓋OCJP與MTA Java國際認證)-cover,2019-10-02
現代 Java｜輕鬆解決 Java 8 與 9 的難題 (Modern Java Recipes Simple Solutions to Difficult Problems in Java 8 and 9)-cover,2018-03-31
Java SE8 OCPJP 進階認證指南-cover,2019-06-19
掌握 Java SE11 程式設計-cover,2019-07-31
Java 物聯網、人工智能和區塊鏈編程實戰-cover,2021-01-01
密碼學原理與 Java 實現-cover,2021-06-01
Java 8 Lambdas 技術手冊 (Java 8 Lambdas Pragmatic Functional Programming)-cover,2014-11-20
"Java 7 教學手冊, 5/e-cover",2012-08-07
微服務架構設計模式 (Microservices Patterns With examples in Java)-cover,2019-04-01
"Java 最強入門邁向頂尖高手之路：王者歸來, 2/e (全彩版)-cover",2020-10-15
持續交付｜使用 Java (Continuous Delivery in Java)-cover,2019-07-12
Java 8 實戰 (Java 8 In Action)-cover,2016-04-01
"Effective Java, 3/e (簡體中文版)-cover",2018-12-21
"21天學通 Java, 8/e (Sams Teach Yourself Java in 21 Days, 8/e)-cover",2022-02-01
"Java 核心技術 捲I  基礎知識, 11/e (Core Java Volume I -- Fundamentals, 11/e)-cover",2019-11-01
圖解 Java 並發編程-cover,2021-10-01
GraalVM 與 Java 靜態編譯：原理與應用-cover,2021-12-15
Java RWD Web 企業網站開發指南｜使用 Spring MVC 與 Bootstrap-cover,2019-07-29
"最新 Java 程式語言, 6/e (JDK12/11/8適用)-cover",2019-06-14
Java 並發編程深度解析與實戰-cover,2021-10-01
Java Web 實操：基於 IntelliJ IDEA、JDBC、Servlet、Ajax、Nexus、Maven-cover,2021-11-01
圖解 Java 多線程設計模式-cover,2017-08-01
